cancion,artista,energia,bailabilidad,acustica,duracion_seg,popularidad
Fase Salvaje,Sistema 9,98.0,48.0,1.0,341.0,26.0
Ruta Eterno,Karma Eléctrico,66.0,37.0,22.0,235.0,59.0
Luna en Vivo,La Conexión,78.0,89.0,10.0,185.0,81.0
Vector Salvaje,Kraft B,92.0,60.0,3.0,416.0,32.0
Salto Azul,Helix,96.0,52.0,4.0,401.0,42.0
Ritmo Azul,Kiara B,82.0,94.0,12.0,185.0,71.0
Ritmo 2.0,La Conexión,85.0,85.0,8.0,187.0,80.0
Prisma Salvaje,Andrómeda Club,93.0,56.0,1.0,357.0,39.0
Despacio 2.0,Valen Acústico,25.0,43.0,81.0,216.0,38.0
Pulso Salvaje,Sistema 9,98.0,63.0,1.0,399.0,32.0
Ritmo Eterno,Los del Sur,95.0,83.0,7.0,186.0,77.0
Asfalto en Vivo,Banda Norte,85.0,56.0,29.0,246.0,42.0
Ritmo Salvaje,Kiara B,90.0,89.0,14.0,204.0,65.0
Noche de Noche,DJ Pampa,83.0,97.0,13.0,194.0,68.0
Despacio Infinito,Hermanos Paz,24.0,37.0,79.0,218.0,51.0
Hogar Eterno,Hermanos Paz,8.0,33.0,95.0,240.0,23.0
