antiguedad_meses,plan,horas_vistas_mes_pasado,perfiles_activos,genero_favorito,dispositivo_principal,usa_descargas_offline,dias_desde_ultima_sesion,cambios_plan_ultimo_anio,churn_30d,horas_proximo_mes
48,estandar_con_anuncios,44.3,1,reality,celular,False,0,0,0,55.4
6,premium,55.2,1,accion,smart_tv,True,10,1,0,70.8
30,estandar_con_anuncios,4.2,2,drama,smart_tv,False,3,0,0,4.6
26,estandar_con_anuncios,15.8,2,drama,smart_tv,False,2,1,0,13.6
26,estandar_con_anuncios,18.2,1,documental,celular,False,1,0,1,1.7
10,estandar,21.5,1,kids,pc,False,3,0,0,15.9
5,estandar_con_anuncios,3.9,1,accion,smart_tv,False,0,2,0,3.9
21,premium,69.4,1,anime,consola,False,2,0,0,56.3
28,estandar,22.7,2,accion,consola,False,3,0,0,21.4
47,estandar_con_anuncios,38.1,1,comedia,smart_tv,False,8,0,1,4.3
28,estandar_con_anuncios,13.8,1,accion,celular,False,0,0,0,8.9
15,estandar_con_anuncios,18.9,1,comedia,smart_tv,False,1,1,0,14.6
16,estandar,44.8,2,comedia,smart_tv,False,0,0,0,40.7
37,premium,39.1,1,drama,celular,False,12,2,0,38.7
26,estandar_con_anuncios,28.7,1,comedia,smart_tv,False,1,0,0,26.1
54,premium,18.8,4,kids,consola,False,1,0,0,17.9
26,estandar_con_anuncios,26.8,2,drama,consola,False,3,0,0,23.4
34,premium,10.8,1,accion,pc,False,0,0,0,8.0
4,premium,41.9,2,documental,celular,False,2,1,0,37.9
12,estandar,48.8,1,documental,celular,True,17,0,0,46.9
51,estandar,48.6,2,kids,tablet,False,0,0,0,45.9
21,premium,27.3,4,reality,smart_tv,False,0,2,0,27.8
25,estandar_con_anuncios,2.5,2,kids,smart_tv,False,0,0,1,5.6
35,estandar_con_anuncios,10.6,1,drama,celular,False,3,0,0,11.9
4,estandar_con_anuncios,21.1,2,accion,smart_tv,False,8,1,0,18.7
30,estandar,7.0,1,documental,smart_tv,False,2,0,0,5.0
21,estandar,36.6,2,comedia,smart_tv,True,3,1,0,45.0
9,estandar,40.4,2,drama,celular,False,1,1,0,43.2
25,premium,42.8,2,comedia,smart_tv,False,2,0,0,35.4
27,estandar_con_anuncios,28.1,2,accion,smart_tv,False,8,0,0,29.5
11,estandar,39.3,3,comedia,smart_tv,False,3,0,0,46.9
33,estandar_con_anuncios,12.6,1,drama,smart_tv,False,11,1,0,16.5
45,estandar_con_anuncios,0.0,2,reality,consola,False,5,0,0,0.0
16,estandar,38.3,2,anime,smart_tv,False,5,1,0,45.6
58,premium,35.5,4,drama,celular,True,5,0,0,27.8
37,estandar,29.4,1,anime,pc,True,5,0,0,29.2
46,estandar_con_anuncios,29.0,1,drama,smart_tv,False,7,0,0,27.3
5,estandar,56.7,2,anime,pc,False,1,0,0,60.2
46,estandar_con_anuncios,21.3,2,anime,celular,False,1,0,0,27.5
20,premium,55.0,1,drama,celular,False,5,0,0,57.5
42,estandar,16.8,3,kids,smart_tv,False,9,2,0,14.0
48,estandar_con_anuncios,25.7,2,anime,smart_tv,False,2,0,0,19.9
15,estandar_con_anuncios,18.4,2,reality,tablet,False,1,1,0,23.9
16,estandar_con_anuncios,37.8,1,anime,pc,False,0,0,0,41.3
4,premium,37.2,3,accion,tablet,True,0,1,0,40.2
36,basico,24.4,2,drama,consola,False,3,0,0,22.9
46,estandar,54.7,2,reality,smart_tv,True,1,1,0,57.3
25,estandar,35.7,2,documental,pc,False,9,0,0,29.4
10,estandar,19.2,2,documental,celular,True,0,0,0,20.5
19,estandar_con_anuncios,57.9,2,comedia,pc,False,2,0,0,45.7
24,premium,30.8,1,accion,smart_tv,False,5,0,0,28.8
55,basico,28.6,2,drama,smart_tv,True,1,0,0,25.3
8,estandar,40.9,3,kids,pc,False,2,0,0,16.9
21,estandar,40.8,3,drama,pc,False,15,2,0,38.3
38,estandar,35.3,3,kids,celular,True,0,0,0,29.6
14,premium,43.4,2,reality,smart_tv,True,3,0,0,41.8
53,estandar_con_anuncios,18.9,2,accion,smart_tv,False,1,1,0,18.9
54,estandar,22.8,2,accion,tablet,False,0,1,0,30.1
23,basico,59.2,2,comedia,smart_tv,False,11,0,0,62.4
45,basico,25.5,2,anime,smart_tv,True,3,0,0,27.0
45,estandar_con_anuncios,30.7,1,kids,celular,False,1,0,0,33.4
41,estandar_con_anuncios,16.4,2,comedia,smart_tv,False,2,0,0,19.0
12,estandar_con_anuncios,13.7,2,drama,celular,False,5,0,0,14.8
3,basico,18.4,1,drama,smart_tv,False,2,1,0,19.3
21,basico,3.5,1,accion,pc,False,2,1,0,3.9
8,estandar,33.3,3,anime,consola,True,3,0,0,18.8
18,estandar,30.4,2,kids,tablet,True,1,0,0,41.8
38,basico,45.7,1,drama,celular,True,0,0,0,58.8
35,basico,10.0,2,reality,smart_tv,True,9,0,0,10.4
13,estandar_con_anuncios,10.4,1,comedia,celular,False,0,0,0,7.8
2,estandar,21.7,1,reality,pc,False,3,0,0,26.4
14,basico,47.8,1,comedia,celular,True,0,0,0,41.8
27,estandar_con_anuncios,7.2,2,documental,celular,False,0,2,0,7.9
46,basico,37.3,2,anime,celular,False,2,0,0,28.7
22,basico,41.4,1,comedia,celular,True,0,0,0,58.0
17,estandar_con_anuncios,17.2,2,kids,celular,False,7,0,0,12.7
33,estandar,17.1,1,anime,smart_tv,False,1,0,0,17.3
5,estandar,15.0,1,drama,celular,True,8,0,1,4.3
14,estandar,49.1,2,drama,celular,True,7,0,0,48.7
3,estandar,16.3,1,documental,smart_tv,False,11,0,1,0.9
32,estandar,43.5,1,comedia,consola,True,3,1,0,52.4
27,basico,29.0,2,drama,celular,True,9,2,0,26.8
35,estandar,43.6,2,accion,smart_tv,True,0,0,0,52.5
37,estandar,45.2,3,kids,pc,True,7,0,0,36.9
24,basico,13.0,2,comedia,celular,False,1,0,0,12.3
52,estandar,24.7,2,comedia,pc,True,8,0,0,23.5
55,basico,40.3,2,reality,smart_tv,True,4,3,0,43.9
7,estandar,26.1,2,accion,consola,True,3,0,0,27.8
55,estandar,0.0,1,reality,smart_tv,False,4,1,0,0.0
12,premium,55.7,1,accion,celular,True,3,2,0,58.4
15,premium,30.7,4,anime,smart_tv,False,1,0,0,34.4
32,estandar,44.7,1,documental,celular,True,3,0,0,37.5
2,estandar,56.1,2,drama,celular,False,11,0,0,60.0
22,estandar,37.1,2,reality,celular,True,3,0,0,47.8
12,basico,40.9,1,accion,celular,True,0,0,0,28.5
29,premium,49.7,4,drama,pc,True,7,3,0,54.1
49,basico,52.9,1,drama,celular,True,1,0,0,59.3
55,estandar_con_anuncios,6.7,2,kids,smart_tv,False,5,0,0,8.5
13,estandar_con_anuncios,19.0,2,drama,tablet,False,0,0,0,21.5
33,premium,57.8,2,comedia,celular,False,1,0,0,58.8
28,estandar_con_anuncios,17.5,2,drama,tablet,False,0,0,0,18.9
25,estandar_con_anuncios,37.4,2,accion,tablet,False,3,1,0,32.5
38,basico,21.7,1,comedia,consola,True,2,0,0,20.2
59,estandar_con_anuncios,54.0,1,accion,pc,False,2,0,0,41.0
24,basico,58.8,1,comedia,celular,False,6,0,1,3.6
4,estandar,39.6,2,drama,smart_tv,False,1,0,1,1.3
55,estandar_con_anuncios,30.9,2,documental,celular,False,1,0,0,25.8
55,premium,67.5,3,comedia,pc,False,0,1,0,70.8
20,premium,28.9,3,documental,celular,False,3,0,0,34.9
30,basico,7.8,1,drama,consola,True,5,2,0,9.2
51,estandar_con_anuncios,41.1,2,drama,smart_tv,False,9,1,0,34.2
30,estandar,41.6,1,comedia,smart_tv,True,0,0,0,18.1
29,estandar_con_anuncios,17.0,2,accion,celular,False,0,0,1,2.3
55,basico,29.8,1,comedia,smart_tv,False,1,1,0,25.0
49,premium,13.3,4,reality,smart_tv,True,8,2,0,14.8
30,premium,44.6,2,comedia,smart_tv,False,1,0,0,52.2
10,estandar,24.5,3,accion,pc,True,4,0,0,29.4
26,basico,40.9,1,accion,celular,True,1,0,0,53.7
40,estandar,53.3,2,drama,smart_tv,False,4,1,0,65.2
17,estandar,45.1,3,accion,smart_tv,True,0,2,0,59.3
32,basico,33.6,2,comedia,celular,False,3,2,0,41.9
39,estandar,15.8,1,accion,smart_tv,False,0,0,0,20.0
6,estandar_con_anuncios,27.4,2,drama,celular,False,11,0,0,27.2
34,estandar_con_anuncios,30.3,1,kids,pc,False,1,1,0,23.3
44,estandar,57.3,2,anime,smart_tv,False,0,0,0,82.9
13,estandar_con_anuncios,50.9,1,drama,celular,False,7,2,1,4.1
33,estandar_con_anuncios,0.0,1,documental,smart_tv,False,0,0,1,4.8
42,premium,42.7,3,kids,smart_tv,True,1,1,0,38.5
3,premium,34.1,4,comedia,consola,True,11,1,0,40.0
39,estandar,40.8,2,kids,celular,True,2,0,0,22.8
16,premium,46.5,2,documental,consola,True,6,0,0,43.1
24,premium,43.5,2,anime,smart_tv,True,0,1,0,42.7
39,estandar_con_anuncios,36.7,2,anime,smart_tv,False,1,0,0,39.8
1,basico,8.6,1,drama,celular,True,7,1,1,3.1
1,basico,9.5,2,accion,celular,True,0,0,0,7.6
27,estandar_con_anuncios,4.9,1,accion,tablet,False,0,0,1,4.5
57,estandar,34.3,1,drama,smart_tv,True,0,0,0,41.9
1,basico,6.7,1,comedia,consola,False,20,3,1,1.5
47,basico,28.2,1,anime,consola,False,3,1,0,31.8
5,estandar_con_anuncios,15.9,2,drama,celular,False,0,1,1,2.2
29,estandar_con_anuncios,8.6,1,accion,smart_tv,False,5,1,0,6.6
26,premium,60.3,2,reality,celular,True,1,0,0,80.2
28,estandar_con_anuncios,19.4,1,comedia,smart_tv,False,0,2,0,22.0
5,estandar_con_anuncios,34.4,1,accion,pc,False,7,0,0,34.3
45,estandar_con_anuncios,18.8,2,anime,celular,False,6,0,0,13.3
17,basico,26.1,2,accion,consola,True,5,0,0,21.7
46,estandar,30.4,2,drama,celular,True,0,0,0,33.9
39,basico,28.1,2,drama,celular,False,5,1,0,29.9
33,estandar_con_anuncios,31.4,2,anime,celular,False,1,0,0,20.4
19,estandar_con_anuncios,13.4,1,comedia,celular,False,3,1,0,14.9
39,premium,56.0,3,accion,consola,True,10,2,0,40.2
59,estandar,27.7,1,drama,smart_tv,False,8,0,0,34.5
55,estandar,51.0,3,accion,tablet,False,3,0,0,52.9
55,estandar,30.9,2,anime,pc,False,2,1,0,28.3
13,estandar,48.9,2,accion,consola,False,4,0,0,57.6
35,estandar_con_anuncios,21.8,1,anime,celular,False,6,1,0,23.2
24,basico,49.8,2,comedia,pc,True,5,0,0,61.7
58,estandar,22.5,3,accion,smart_tv,True,1,0,0,22.8
57,basico,7.6,2,reality,pc,True,0,0,0,7.8
52,premium,40.1,4,accion,smart_tv,True,2,0,0,38.0
10,basico,5.1,1,comedia,smart_tv,False,0,0,0,5.3
19,estandar,15.8,2,reality,smart_tv,True,0,0,0,20.6
42,premium,57.8,2,comedia,smart_tv,True,5,0,0,52.6
45,estandar,38.7,3,accion,smart_tv,False,3,2,0,43.2
21,premium,39.6,3,anime,pc,True,3,0,0,33.3
9,estandar,29.9,2,drama,smart_tv,True,2,0,0,18.8
9,premium,36.8,4,comedia,celular,True,3,0,0,38.2
41,basico,53.2,2,drama,smart_tv,False,4,0,0,56.7
27,basico,16.2,1,comedia,pc,True,6,0,0,15.9
29,estandar,17.6,3,drama,pc,True,7,1,0,12.9
49,estandar_con_anuncios,34.0,1,kids,smart_tv,False,1,0,0,35.9
1,basico,21.8,1,drama,celular,False,1,1,1,2.8
45,premium,79.3,1,documental,consola,True,9,0,0,66.6
17,estandar,28.5,3,comedia,pc,True,0,0,0,21.6
55,estandar_con_anuncios,35.3,1,comedia,smart_tv,False,15,0,0,33.7
57,basico,46.0,1,comedia,celular,False,9,1,0,51.4
30,estandar_con_anuncios,12.7,1,kids,pc,False,1,2,0,13.7
19,estandar_con_anuncios,8.4,2,accion,smart_tv,False,6,0,0,7.1
14,premium,57.3,3,comedia,pc,True,10,2,0,58.7
11,basico,34.5,2,reality,smart_tv,False,0,0,0,40.0
59,basico,8.8,1,accion,pc,True,3,0,0,6.9
12,estandar,19.1,3,drama,smart_tv,False,6,1,0,19.3
27,estandar_con_anuncios,0.0,1,reality,smart_tv,False,6,0,1,4.1
29,estandar_con_anuncios,29.3,1,comedia,tablet,False,0,0,0,22.6
41,estandar,34.5,3,drama,consola,True,3,0,0,41.7
50,estandar,36.7,1,accion,consola,False,0,1,0,47.4
33,premium,22.4,1,drama,tablet,False,5,0,0,21.5
45,estandar,22.3,3,comedia,smart_tv,False,0,2,0,20.9
34,basico,20.7,2,kids,smart_tv,True,2,0,0,24.5
26,estandar,27.1,1,drama,smart_tv,False,2,2,0,26.2
10,premium,47.6,5,reality,celular,False,1,0,0,27.4
13,estandar,44.8,2,anime,smart_tv,False,1,0,0,44.0
26,premium,81.2,2,documental,tablet,False,0,0,0,88.1
3,estandar,34.9,2,kids,smart_tv,True,1,0,0,39.5
19,premium,63.3,4,kids,smart_tv,True,7,0,0,53.3
28,estandar_con_anuncios,7.9,1,anime,smart_tv,False,18,1,0,7.5
28,estandar,12.2,2,comedia,smart_tv,False,0,0,0,14.3
49,basico,23.8,1,drama,smart_tv,False,23,0,1,0.2
58,estandar,15.9,3,accion,celular,True,14,3,0,11.5
44,estandar,38.9,1,accion,smart_tv,True,4,0,0,47.6
5,premium,33.7,5,drama,celular,False,5,0,0,32.4
25,premium,17.8,2,documental,consola,False,0,0,0,21.3
44,estandar_con_anuncios,47.7,2,drama,celular,False,3,0,0,35.7
36,estandar,29.9,3,anime,celular,True,2,0,0,29.2
28,estandar,12.8,1,comedia,smart_tv,False,1,1,0,14.0
26,basico,40.6,2,drama,smart_tv,True,10,0,0,40.0
24,estandar_con_anuncios,9.1,1,drama,smart_tv,False,3,0,0,7.2
35,estandar_con_anuncios,37.3,1,comedia,tablet,False,18,0,0,21.3
11,estandar,24.9,3,comedia,celular,True,0,0,0,31.7
31,basico,19.5,1,drama,smart_tv,True,4,0,0,20.4
13,premium,51.3,2,comedia,celular,False,1,2,0,62.1
41,basico,37.3,1,drama,pc,False,7,0,0,43.5
52,premium,60.9,4,comedia,celular,False,1,0,0,67.4
30,basico,26.2,1,comedia,celular,False,8,1,0,24.7
23,estandar,44.8,3,comedia,consola,True,9,1,0,48.7
56,estandar_con_anuncios,33.9,1,comedia,celular,False,6,1,0,42.6
39,estandar,41.3,1,drama,celular,True,6,1,0,41.9
26,premium,45.0,5,drama,smart_tv,True,1,0,0,60.4
2,premium,23.5,4,drama,smart_tv,False,2,0,0,17.2
1,premium,54.1,2,kids,tablet,True,1,1,0,38.5
14,estandar_con_anuncios,19.8,2,anime,celular,False,3,1,0,23.3
14,basico,20.0,2,anime,smart_tv,True,2,1,0,17.1
43,estandar_con_anuncios,40.7,2,accion,celular,False,2,0,0,55.7
30,estandar_con_anuncios,0.0,2,accion,smart_tv,False,0,1,1,1.2
59,estandar,64.6,3,comedia,pc,True,13,0,0,83.1
32,estandar,37.3,2,kids,smart_tv,False,0,0,0,43.2
54,estandar,44.3,2,kids,pc,False,0,0,0,37.0
33,premium,41.8,5,reality,celular,True,0,0,0,29.3
22,estandar,11.8,3,reality,smart_tv,False,4,1,0,15.0
43,premium,46.5,1,accion,smart_tv,False,15,0,0,33.9
27,estandar_con_anuncios,25.3,2,kids,pc,False,0,1,1,2.7
17,estandar_con_anuncios,29.6,1,reality,smart_tv,False,0,0,1,2.4
28,estandar,34.4,3,comedia,smart_tv,True,2,0,0,33.9
40,premium,15.4,3,anime,pc,True,3,0,0,16.6
23,estandar_con_anuncios,0.0,1,drama,smart_tv,False,14,0,0,0.0
42,estandar,69.3,1,anime,smart_tv,True,0,1,0,66.8
58,estandar,23.4,2,kids,smart_tv,True,5,0,0,29.4
25,estandar_con_anuncios,41.5,2,drama,consola,False,1,0,1,0.0
18,basico,12.5,1,documental,smart_tv,True,2,0,0,12.9
24,premium,44.3,1,drama,smart_tv,False,7,0,0,39.5
50,estandar,48.5,3,kids,smart_tv,True,1,0,0,59.9
11,estandar_con_anuncios,6.6,1,kids,smart_tv,False,4,3,0,4.2
58,premium,73.7,3,documental,smart_tv,True,0,0,0,79.6
25,basico,28.2,2,reality,smart_tv,True,0,0,0,32.0
50,premium,56.1,2,drama,smart_tv,True,6,2,1,4.3
47,estandar_con_anuncios,17.9,1,comedia,smart_tv,False,0,1,0,21.0
47,estandar,48.8,1,comedia,consola,False,5,0,0,48.6
54,basico,53.2,2,drama,smart_tv,False,1,0,0,48.0
11,estandar_con_anuncios,16.9,2,accion,smart_tv,False,10,2,0,19.8
36,premium,73.9,4,comedia,consola,False,5,0,0,59.5
6,estandar_con_anuncios,9.3,1,comedia,consola,False,3,0,0,10.8
18,estandar_con_anuncios,31.0,2,accion,celular,False,5,1,1,2.7
3,basico,32.6,1,reality,smart_tv,False,16,1,1,2.1
41,estandar,22.4,2,comedia,smart_tv,False,1,3,0,22.6
36,premium,51.2,5,reality,smart_tv,True,7,0,0,46.2
44,premium,48.8,4,accion,smart_tv,False,3,2,0,52.2
11,estandar_con_anuncios,6.1,2,comedia,smart_tv,False,0,0,0,6.0
20,basico,32.0,2,accion,celular,True,4,1,1,5.0
40,estandar_con_anuncios,23.5,2,comedia,smart_tv,False,1,2,1,3.2
49,estandar,38.0,2,comedia,celular,True,0,0,0,41.1
53,premium,48.4,2,accion,smart_tv,True,0,0,0,50.9
5,estandar,34.1,2,drama,smart_tv,False,0,0,1,3.7
24,estandar,31.5,2,comedia,pc,False,9,1,0,29.8
1,basico,27.2,1,accion,consola,True,1,0,0,28.4
49,premium,39.4,3,comedia,smart_tv,True,9,1,0,38.2
8,basico,65.5,1,reality,celular,True,5,0,0,78.6
49,estandar_con_anuncios,0.9,2,comedia,smart_tv,False,0,0,1,5.7
10,basico,17.1,1,anime,smart_tv,True,1,0,0,18.3
1,estandar_con_anuncios,10.5,1,kids,celular,False,2,2,0,7.8
52,estandar_con_anuncios,52.9,1,anime,smart_tv,False,2,0,0,61.9
26,estandar_con_anuncios,0.4,2,reality,smart_tv,False,2,0,0,0.4
26,basico,33.6,2,drama,celular,True,3,0,1,4.8
39,estandar,42.0,1,accion,smart_tv,True,11,2,0,54.4
17,basico,31.4,2,drama,smart_tv,True,1,1,0,35.3
41,basico,47.0,1,reality,smart_tv,True,1,0,1,1.9
26,premium,65.4,1,accion,tablet,True,0,0,0,70.8
17,estandar,29.7,2,comedia,celular,True,2,0,0,29.2
24,estandar,39.9,1,anime,smart_tv,True,4,0,0,37.9
1,estandar_con_anuncios,0.0,1,drama,smart_tv,False,1,1,1,0.0
18,premium,48.0,4,accion,celular,False,0,0,0,57.8
35,estandar_con_anuncios,9.0,2,kids,smart_tv,False,2,0,0,8.9
9,basico,23.0,1,drama,celular,True,1,1,0,31.6
7,premium,20.3,1,accion,pc,True,3,0,0,19.6
39,estandar,44.3,3,reality,smart_tv,True,12,0,0,33.2
26,estandar,11.7,2,drama,smart_tv,False,9,0,0,8.1
9,estandar,38.0,2,accion,smart_tv,False,5,0,0,26.5
45,estandar,20.4,3,comedia,smart_tv,True,5,0,0,18.9
46,estandar_con_anuncios,9.1,1,documental,smart_tv,False,9,0,0,8.7
3,estandar_con_anuncios,35.6,2,drama,consola,False,1,0,0,40.0
12,basico,34.8,1,anime,smart_tv,True,5,0,0,34.6
22,estandar_con_anuncios,37.1,2,reality,celular,False,6,1,0,42.7
44,premium,72.1,1,drama,celular,True,3,0,0,72.7
5,estandar_con_anuncios,6.8,2,comedia,smart_tv,False,0,0,1,1.0
48,estandar,61.5,3,accion,smart_tv,True,2,0,0,55.1
19,estandar,14.6,2,kids,smart_tv,True,9,0,0,18.3
8,estandar,46.9,2,accion,celular,True,7,0,0,34.0
51,basico,21.8,2,drama,smart_tv,True,4,0,0,23.0
6,basico,11.5,1,drama,celular,True,0,1,0,11.1
8,premium,54.9,3,anime,consola,True,3,0,0,62.6
57,estandar,53.9,2,accion,pc,False,2,1,0,53.7
31,premium,61.3,1,reality,tablet,True,0,0,0,61.4
28,premium,50.6,1,accion,pc,True,1,0,0,48.2
41,estandar,40.4,2,anime,consola,False,3,0,0,50.5
38,estandar_con_anuncios,29.1,2,drama,pc,False,4,0,1,1.8
37,estandar,42.6,1,drama,celular,False,5,1,0,57.7
2,estandar_con_anuncios,26.3,1,anime,pc,False,1,1,1,3.5
33,estandar,40.8,3,anime,tablet,True,4,1,0,41.0
17,premium,59.1,4,comedia,celular,True,1,0,0,57.6
48,estandar,14.6,2,comedia,celular,False,0,1,0,16.1
30,basico,25.5,2,accion,celular,True,2,0,0,22.8
8,estandar_con_anuncios,0.0,2,comedia,consola,False,4,0,0,0.0
53,premium,53.6,4,drama,smart_tv,False,1,0,0,53.7
17,estandar_con_anuncios,44.0,2,reality,pc,False,4,0,0,46.6
17,estandar_con_anuncios,12.3,2,comedia,pc,False,3,0,0,13.1
56,estandar_con_anuncios,24.6,1,kids,tablet,False,1,2,1,4.4
46,estandar_con_anuncios,33.2,2,drama,smart_tv,False,0,0,0,33.8
51,basico,0.0,2,drama,celular,False,4,0,1,4.0
40,estandar,30.5,3,documental,pc,False,3,0,0,32.8
54,basico,35.0,2,comedia,tablet,True,0,2,0,51.4
7,estandar_con_anuncios,0.0,2,documental,consola,False,0,1,0,0.0
36,estandar_con_anuncios,6.3,2,drama,celular,False,1,0,0,7.4
18,basico,43.0,1,anime,celular,False,3,0,0,37.4
24,estandar_con_anuncios,35.0,1,kids,smart_tv,False,0,0,0,43.8
15,estandar,41.9,1,reality,tablet,False,5,0,0,36.6
13,estandar_con_anuncios,32.3,2,drama,smart_tv,False,6,2,1,1.6
27,basico,30.5,1,comedia,celular,False,0,2,0,29.0
55,basico,37.9,1,comedia,pc,True,0,2,0,41.0
38,basico,23.4,2,accion,smart_tv,True,0,0,0,22.4
21,estandar_con_anuncios,21.5,2,comedia,smart_tv,False,14,1,1,0.4
26,estandar_con_anuncios,10.7,1,drama,smart_tv,False,0,1,1,3.5
32,premium,66.6,2,comedia,consola,False,0,0,0,85.1
15,estandar_con_anuncios,42.1,1,comedia,celular,False,0,0,0,45.6
31,estandar,58.3,1,comedia,smart_tv,True,0,0,0,44.8
42,basico,22.4,2,drama,celular,True,0,0,0,26.8
15,basico,11.9,2,comedia,smart_tv,True,13,2,0,10.0
35,basico,47.1,2,documental,consola,True,0,1,0,53.4
42,estandar,46.7,3,comedia,smart_tv,False,2,0,0,51.3
31,premium,52.5,1,comedia,smart_tv,True,0,0,0,58.3
18,estandar_con_anuncios,10.0,2,accion,smart_tv,False,3,0,0,13.3
33,basico,34.1,2,kids,celular,True,0,0,0,29.0
47,estandar_con_anuncios,5.6,2,comedia,celular,False,7,0,0,6.2
14,basico,35.7,1,accion,pc,False,10,0,0,43.8
34,estandar,58.5,3,anime,celular,True,5,1,0,51.7
41,estandar_con_anuncios,45.9,1,accion,smart_tv,False,3,1,0,39.7
19,basico,37.2,2,reality,smart_tv,False,4,2,0,35.3
23,premium,26.2,1,kids,smart_tv,True,3,0,0,27.7
53,estandar_con_anuncios,25.4,1,drama,consola,False,1,1,0,19.0
22,basico,58.9,1,accion,smart_tv,False,0,0,0,64.7
36,estandar,25.0,2,kids,tablet,False,5,0,0,18.7
9,estandar_con_anuncios,17.9,1,anime,smart_tv,False,4,0,0,22.1
55,estandar_con_anuncios,43.8,1,accion,smart_tv,False,1,0,1,3.8
36,estandar_con_anuncios,30.3,2,drama,smart_tv,False,2,0,1,3.4
45,premium,86.0,5,accion,smart_tv,True,0,0,0,96.4
36,estandar_con_anuncios,10.0,1,drama,pc,False,2,0,1,0.0
21,estandar_con_anuncios,4.9,2,kids,celular,False,1,2,1,0.5
21,estandar_con_anuncios,38.1,1,accion,smart_tv,False,0,0,0,39.7
42,estandar_con_anuncios,3.6,1,kids,celular,False,0,0,1,3.2
51,estandar,36.3,1,reality,celular,True,1,3,0,44.1
8,estandar_con_anuncios,17.7,1,documental,tablet,False,7,0,0,14.7
50,estandar,54.7,3,documental,tablet,True,11,0,0,74.6
49,estandar,48.3,2,kids,celular,True,16,2,1,5.9
7,premium,52.4,2,reality,pc,True,5,0,0,50.5
7,estandar_con_anuncios,12.5,1,reality,pc,False,4,0,0,16.5
42,premium,66.7,4,drama,celular,True,0,0,0,57.3
50,estandar,99.6,3,accion,celular,False,0,0,1,4.5
24,estandar_con_anuncios,30.4,2,drama,smart_tv,False,7,1,0,23.4
38,estandar,39.7,2,reality,pc,True,17,0,0,52.9
59,premium,30.4,3,documental,tablet,False,2,0,0,21.4
20,estandar_con_anuncios,10.1,2,accion,smart_tv,False,2,1,1,1.9
14,premium,43.0,2,drama,pc,True,1,3,0,38.1
59,basico,21.9,1,comedia,tablet,True,0,0,0,27.1
17,estandar,36.2,2,kids,smart_tv,True,3,0,0,42.4
28,premium,74.0,4,drama,celular,True,8,2,0,75.6
27,basico,46.0,2,drama,consola,True,1,0,0,54.4
31,premium,45.2,1,reality,tablet,True,0,0,0,44.3
16,basico,8.2,1,kids,smart_tv,False,5,0,0,8.8
41,estandar,58.5,2,drama,smart_tv,True,5,1,0,75.9
41,estandar,37.7,2,comedia,celular,True,9,0,0,36.0
12,estandar_con_anuncios,0.0,2,anime,smart_tv,False,12,0,1,4.4
29,basico,38.1,2,kids,smart_tv,True,7,2,0,41.3
4,basico,40.7,1,documental,smart_tv,False,1,0,0,46.1
14,estandar_con_anuncios,0.0,1,comedia,smart_tv,False,1,0,1,3.9
59,estandar_con_anuncios,10.5,1,comedia,celular,False,1,0,0,12.4
30,basico,25.8,2,drama,celular,False,0,2,0,24.9
37,estandar_con_anuncios,32.1,1,kids,celular,False,2,0,0,32.8
53,estandar_con_anuncios,14.7,2,drama,pc,False,7,1,0,15.7
43,estandar,26.1,2,drama,smart_tv,False,3,0,0,27.5
47,estandar,49.8,3,kids,smart_tv,False,0,0,0,64.3
43,estandar,31.6,3,anime,smart_tv,True,0,2,0,33.7
30,basico,35.6,2,kids,smart_tv,True,0,0,0,33.7
38,premium,31.5,1,accion,smart_tv,True,5,0,0,34.5
18,estandar,16.2,1,accion,smart_tv,False,2,1,0,19.1
53,estandar_con_anuncios,33.7,1,accion,smart_tv,False,1,0,1,5.4
11,estandar_con_anuncios,22.7,2,comedia,smart_tv,False,0,0,0,25.6
53,estandar,53.3,1,accion,celular,False,0,1,0,38.9
52,estandar_con_anuncios,14.3,2,accion,celular,False,9,0,0,7.9
9,estandar,23.8,1,accion,tablet,False,1,1,0,29.3
42,premium,68.9,2,reality,pc,True,0,0,0,74.3
59,estandar_con_anuncios,0.1,1,anime,celular,False,5,0,0,0.1
34,estandar_con_anuncios,39.6,2,drama,smart_tv,False,2,1,0,44.5
21,premium,66.6,4,comedia,celular,True,7,0,0,89.7
52,estandar,52.2,3,drama,smart_tv,True,0,1,0,65.5
31,estandar_con_anuncios,10.3,2,comedia,smart_tv,False,8,2,1,1.9
8,premium,33.4,4,comedia,smart_tv,True,0,1,0,28.1
15,premium,43.1,1,drama,smart_tv,True,0,0,0,37.2
41,estandar,19.0,2,kids,smart_tv,False,0,0,0,10.8
27,estandar,22.8,1,accion,celular,True,4,2,0,25.4
13,estandar_con_anuncios,28.8,1,reality,pc,False,0,0,1,3.5
48,estandar_con_anuncios,31.7,2,drama,pc,False,15,1,0,38.5
8,estandar,19.9,1,drama,celular,True,0,1,0,22.3
13,estandar_con_anuncios,29.2,1,comedia,celular,False,3,0,0,28.4
28,estandar,44.1,3,drama,smart_tv,True,9,0,0,39.6
3,premium,67.9,2,comedia,celular,False,0,0,0,57.8
23,estandar_con_anuncios,28.5,2,anime,celular,False,1,0,1,2.5
54,estandar,55.4,2,drama,smart_tv,False,6,0,0,45.6
